Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Hyundai Venue,24.52,23.5,5,MUV,CNG,Manual,Used,Family,White
Honda City,16.61,15.2,5,SUV,Diesel,Automatic,New,Family,Silver
Toyota Innova,30.15,19.4,5,Sedan,Diesel,Manual,Excellent,Luxury,Silver
Hyundai Creta,22.31,27.8,4,SUV,Diesel,Automatic,New,Luxury,Black
Hyundai Venue,6.84,26.5,5,Sedan,Diesel,Manual,Excellent,Sporty,Grey
Tata Nexon,28.13,16.3,4,MUV,Electric,Automatic,Used,Sporty,White
Honda City,18.93,11.4,7,Hatchback,Petrol,Manual,Used,Luxury,Grey
Maruti Swift,12.81,21.6,4,SUV,Diesel,Manual,Used,Luxury,Black
Honda City,32.54,12.3,4,Sedan,CNG,Automatic,Excellent,Luxury,Silver
Maruti Baleno,21.0,11.6,5,SUV,Petrol,Automatic,Excellent,Luxury,Grey
MG Hector,17.57,25.2,4,Sedan,Petrol,Automatic,Excellent,Family,Silver
Maruti Swift,29.17,11.3,4,MUV,Petrol,Manual,New,Family,White
Honda City,8.4,25.6,5,Hatchback,Electric,Manual,Excellent,Luxury,Grey
Maruti Baleno,44.53,21.2,5,SUV,CNG,Automatic,Used,Sporty,Silver
Kia Seltos,42.43,13.6,5,Hatchback,Electric,Manual,New,Luxury,Blue
Tata Nexon,15.45,24.8,4,Sedan,Petrol,Automatic,New,Family,Silver
Mahindra Scorpio,43.89,11.6,5,SUV,CNG,Manual,New,Family,Silver
Tata Nexon,39.75,15.7,4,Hatchback,Electric,Automatic,Excellent,Sporty,Blue
Tata Nexon,19.99,17.3,5,MUV,CNG,Manual,Used,Sporty,Black
Kia Seltos,42.53,25.4,5,SUV,Electric,Manual,Used,Sporty,Blue
Kia Seltos,26.76,20.7,5,Sedan,Electric,Automatic,Excellent,Family,White
MG Hector,17.37,15.9,7,Hatchback,CNG,Automatic,Excellent,Family,Black
Hyundai Creta,40.55,13.7,4,Hatchback,Petrol,Automatic,Excellent,Luxury,Grey
Renault Triber,42.28,15.9,7,MUV,Petrol,Automatic,Excellent,Luxury,Black
